TDB_past_J2000 sc_2_earth_LVLH_1 sc_2_earth_LVLH_2 sc_2_earth_LVLH_3
922755381.18565 22590343.6826604 87837748.4162455 33899390.5876289
922755391.18565 22907394.2416847 87837697.3227637 33686065.5437247
922755401.18565 23222428.5522788 87837646.2214171 33469776.3332277
922755411.18565 23535418.2289656 87837595.1238727 33250542.4842031
922755421.18565 23846335.0845398 87837544.0423083 33028383.8073791
922755431.18565 24155151.1329536 87837492.9882862 32803320.3970596
922755441.18565 24461838.5926781 87837441.9735466 32575372.62658
922755451.18565 24766369.8896209 87837391.0096083 32344561.1471728
922755461.18565 25068717.6600597 87837340.1077572 32110906.88575
922755471.18565 25368854.7537613 87837289.279444 31874431.0413645
922755481.18565 25666754.2366607 87837238.5356765 31635155.0846916
922755491.18565 25962389.3939176 87837187.8874058 31393100.7544617
922755501.18565 26255733.7327344 87837137.3454728 31148290.055206
922755511.18565 26546760.985237 87837086.9207591 30900745.2543227
922755521.18565 26835445.1111536 87837036.6237598 30650488.8808896
922755531.18565 27121760.3006467 87836986.4648514 30397543.7223397
922755541.18565 27405680.9771463 87836936.4545195 30141932.8211525
922755551.18565 27687181.7999018 87836886.6029315 29883679.4736238
922755561.18565 27966237.6666527 87836836.9199487 29622807.2272376
922755571.18565 28242823.7165432 87836787.4158703 29359339.8755526
922755581.18565 28516915.3323002 87836738.1002482 29093301.4594239
922755591.18565 28788488.1431477 87836688.9828296 28824716.2611784
922755601.18565 29057518.0271715 87836640.0731178 28553608.803347
922755611.18565 29323981.1139893 87836591.3807464 28280003.844579
922755621.18565 29587853.7869883 87836542.9149408 28003926.3787279
922755631.18565 29849112.6858884 87836494.6847784 27725401.631115
922755641.18565 30107734.7092505 87836446.6995531 27444455.0543908
922755651.18565 30363697.0166032 87836398.9681117 27161112.3279962
922755661.18565 30616977.0309377 87836351.4993072 26875399.3536464
922755671.18565 30867552.4409715 87836304.3019203 26587342.2526595
922755681.18565 31115401.2033293 87836257.3845129 26296967.3635616
922755691.18565 31360501.5448914 87836210.7557233 26004301.2379668
922755701.18565 31602831.9648014 87836164.4238123 25709370.6392862
922755711.18565 31842371.2367949 87836118.3972549 25412202.5374722
922755721.18565 32079098.411131 87836072.6841642 25112824.1081193
922755731.18565 32312992.8167654 87836027.2926853 24811262.7279091
922755741.18565 32544034.0633182 87835982.2307992 24507545.9722531
922755751.18565 32772202.0431408 87835937.5064848 24201701.6114858
922755761.18565 32997476.9331483 87835893.1275489 23893757.608475
922755771.18565 33219839.1967852 87835849.101684 23583742.1151818
